CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,113,1,50,-,1.25,-0.2,"1,400",1.15,1.25,350,"3,480.00",700,445.45,460.85,700,-,-,-,-,-,34
,"5,438",-108,"1,182",-,1.1,-0.1,"1,050",1.05,1.1,"1,225","3,500.00",175,472.45,475.85,175,23.9,471.55,-,55,-54,"1,099"
,51,-,3,33.41,0.85,-0.55,175,0.85,1.35,350,"3,520.00",700,485.7,500.65,700,-,-,-,-,-,6
,107,-,1,34.5,0.85,-,"3,850",0.75,1.4,"1,400","3,540.00",700,505.6,520.5,525,-,-,-,-,-,2
,113,-3,8,36.59,1.05,0.05,350,0.8,1.05,175,"3,560.00",700,525.25,540.4,525,-,-,-,-,-,-
,35,-,-,-,-,-,"1,750",0.7,1.3,"1,400","3,580.00",700,545.05,560.3,525,-,-,-,-,-,1
,"1,370",-88,199,-,0.7,-0.2,"5,250",0.7,0.75,525,"3,600.00",175,572,576.85,175,7,557,-,4,1,586
,52,-,-,-,-,-,"1,750",0.65,1.25,350,"3,620.00",700,585.25,600.05,525,-,-,-,-,-,2
,45,-,1,-,0.8,-,"1,750",0.6,1.25,"2,450","3,640.00",700,605.2,619.95,525,-,-,-,-,-,1
,38,-,-,-,-,-,"1,750",0.6,1.1,175,"3,660.00",-,-,-,-,-,-,-,-,-,-
,26,-,-,-,-,-,"1,750",0.55,1.2,"2,450","3,680.00",-,-,-,-,-,-,-,-,-,-
,432,-436,503,-,0.8,-0.05,350,0.7,0.8,350,"3,700.00",875,666.55,678.4,525,-,-,-,-,-,222
,26,-,-,-,-,-,"1,750",0.5,0.7,175,"3,720.00","7,000",614.3,699.5,525,-,-,-,-,-,1
,527,2,44,45.89,0.6,-0.05,"1,225",0.55,0.65,525,"3,800.00","1,750",764.05,787.3,700,-,-,-,-,-,679
,19,-,4,-,0.45,-0.35,175,0.45,0.85,175,"3,840.00",-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,"3,880.00",175,845.4,858.65,175,42,829,-,1,-,8
,100,22,50,49.19,0.4,-0.35,"1,225",0.4,0.45,175,"3,920.00",525,833.85,990.4,"7,000",-,-,-,-,-,41
,-,-,-,-,-,-,-,-,-,-,"3,960.00",-,-,-,-,-,-,-,-,-,4
,-,-,-,-,-,-,-,-,-,-,"4,000.00",-,-,-,-,-,-,-,-,-,"1,766"
